freq_mhz,conductor_diameter_mm,length_offset_mm,spacing_offset_mm,resistance_ohm,reactance_ohm,vswr_50,forward_gain_dbi,back_gain_dbi,front_to_back_db
1710.0,4.0,0.0,0.0,8.982,55.480,12.520,1.921,1.245,0.677
1800.0,4.0,0.0,0.0,43.367,153.209,12.767,-0.129,4.118,-4.247
1840.0,4.0,0.0,0.0,76.787,193.273,11.832,-0.142,3.733,-3.876
1880.0,4.0,0.0,0.0,124.526,229.370,11.253,-0.253,3.386,-3.638
1710.0,4.0,1.0,0.0,10.259,78.616,17.070,-3.423,4.204,-7.627
1800.0,4.0,1.0,0.0,55.117,171.075,12.550,-0.076,3.945,-4.021
1840.0,4.0,1.0,0.0,93.557,210.473,11.791,-0.166,3.577,-3.743
1880.0,4.0,1.0,0.0,147.052,244.145,11.299,-0.290,3.250,-3.540
1710.0,4.0,-1.0,0.0,30.097,31.919,2.548,8.307,-0.914,9.220
1800.0,4.0,-1.0,0.0,33.010,134.929,13.129,-0.344,4.287,-4.631
1840.0,4.0,-1.0,0.0,61.679,175.414,11.938,-0.148,3.903,-4.051
1880.0,4.0,-1.0,0.0,103.756,213.344,11.242,-0.221,3.535,-3.756
1710.0,4.0,3.0,0.0,20.916,114.560,15.293,-0.235,4.485,-4.721
1800.0,4.0,3.0,0.0,82.965,205.652,12.376,-0.113,3.631,-3.743
1840.0,4.0,3.0,0.0,132.096,242.508,11.840,-0.241,3.304,-3.544
1880.0,4.0,3.0,0.0,197.110,269.342,11.470,-0.363,3.017,-3.380
1710.0,4.0,-3.0,0.0,21.453,43.200,4.265,10.111,1.415,8.696
1800.0,4.0,-3.0,0.0,16.437,95.935,14.500,-3.385,4.343,-7.728
1840.0,4.0,-3.0,0.0,36.360,137.866,12.477,-0.529,4.250,-4.780
1880.0,4.0,-3.0,0.0,67.680,178.086,11.376,-0.231,3.874,-4.105
1710.0,4.0,0.0,1.0,9.545,56.676,12.077,1.696,1.271,0.425
1800.0,4.0,0.0,1.0,47.142,156.476,12.310,-0.157,4.053,-4.210
1840.0,4.0,0.0,1.0,83.216,196.268,11.436,-0.174,3.670,-3.843
1880.0,4.0,0.0,1.0,134.080,230.560,10.892,-0.289,3.323,-3.612
1710.0,4.0,0.0,-1.0,8.444,54.256,12.986,2.144,1.216,0.927
1800.0,4.0,0.0,-1.0,39.811,149.781,13.247,-0.105,4.183,-4.288
1840.0,4.0,0.0,-1.0,70.657,189.882,12.245,-0.114,3.798,-3.913
1880.0,4.0,0.0,-1.0,115.197,227.386,11.629,-0.220,3.450,-3.670
1710.0,4.0,0.0,3.0,10.744,58.987,11.257,1.234,1.316,-0.081
1800.0,4.0,0.0,3.0,55.362,162.440,11.456,-0.223,3.928,-4.151
1840.0,4.0,0.0,3.0,96.882,200.894,10.692,-0.248,3.547,-3.794
1880.0,4.0,0.0,3.0,153.528,230.363,10.211,-0.375,3.203,-3.578
1710.0,4.0,0.0,-3.0,7.434,51.723,14.000,2.578,1.151,1.427
1800.0,4.0,0.0,-3.0,33.345,142.521,14.279,-0.067,4.317,-4.384
1840.0,4.0,0.0,-3.0,59.345,182.083,13.127,-0.071,3.932,-4.003
1880.0,4.0,0.0,-3.0,97.485,221.272,12.427,-0.167,3.583,-3.750
