freq_mhz,conductor_diameter_mm,length_offset_mm,spacing_offset_mm,resistance_ohm,reactance_ohm,vswr_50,forward_gain_dbi,back_gain_dbi,front_to_back_db
1710.0,3.0,0.0,0.0,38.931,51.747,3.118,9.662,-1.150,10.813
1720.0,3.0,0.0,0.0,43.803,54.405,3.040,9.653,-1.295,10.948
1730.0,3.0,0.0,0.0,48.907,55.712,2.928,9.636,-1.471,11.107
1740.0,3.0,0.0,0.0,53.727,55.291,2.784,9.614,-1.701,11.314
1750.0,3.0,0.0,0.0,57.405,52.979,2.614,9.586,-2.011,11.598
1760.0,3.0,0.0,0.0,58.855,49.142,2.437,9.555,-2.437,11.992
1770.0,3.0,0.0,0.0,57.193,44.888,2.285,9.519,-3.025,12.544
1780.0,3.0,0.0,0.0,52.330,41.829,2.220,9.475,-3.850,13.325
1790.0,3.0,0.0,0.0,45.189,41.356,2.340,9.417,-5.036,14.453
1800.0,3.0,0.0,0.0,37.236,44.004,2.766,9.333,-6.822,16.156
1810.0,3.0,0.0,0.0,29.759,49.443,3.644,9.205,-9.756,18.961
1820.0,3.0,0.0,0.0,23.491,56.923,5.163,9.004,-15.702,24.705
1830.0,3.0,0.0,0.0,18.657,65.693,7.547,8.684,-28.844,37.528
1840.0,3.0,0.0,0.0,15.187,75.188,10.950,8.188,-11.765,19.953
1850.0,3.0,0.0,0.0,12.896,85.052,15.289,7.450,-5.937,13.387
1860.0,3.0,0.0,0.0,11.582,95.083,20.110,6.408,-2.438,8.847
1870.0,3.0,0.0,0.0,11.074,105.179,24.676,5.027,-0.108,5.134
1880.0,3.0,0.0,0.0,11.237,115.299,28.300,3.300,1.473,1.827
1710.0,4.0,0.0,0.0,54.147,45.649,2.351,9.610,-1.350,10.961
1720.0,4.0,0.0,0.0,56.959,41.812,2.170,9.578,-1.712,11.290
1730.0,4.0,0.0,0.0,56.785,36.968,1.997,9.539,-2.184,11.723
1740.0,4.0,0.0,0.0,53.202,32.743,1.873,9.491,-2.812,12.304
1750.0,4.0,0.0,0.0,46.901,30.754,1.874,9.433,-3.667,13.100
1760.0,4.0,0.0,0.0,39.324,31.808,2.095,9.358,-4.865,14.223
1770.0,4.0,0.0,0.0,31.866,35.748,2.628,9.254,-6.622,15.877
1780.0,4.0,0.0,0.0,25.389,41.885,3.580,9.106,-9.417,18.523
1790.0,4.0,0.0,0.0,20.207,49.470,5.105,8.887,-14.753,23.639
1800.0,4.0,0.0,0.0,16.304,57.920,7.372,8.561,-68.448,77.010
1810.0,4.0,0.0,0.0,13.526,66.858,10.481,8.084,-13.581,21.665
1820.0,4.0,0.0,0.0,11.689,76.069,14.343,7.406,-7.210,14.616
1830.0,4.0,0.0,0.0,10.631,85.443,18.597,6.483,-3.527,10.010
1840.0,4.0,0.0,0.0,10.226,94.933,22.675,5.294,-1.078,6.372
1850.0,4.0,0.0,0.0,10.389,104.527,26.016,3.840,0.607,3.234
1860.0,4.0,0.0,0.0,11.066,114.227,28.287,2.144,1.765,0.379
1870.0,4.0,0.0,0.0,12.238,124.034,29.439,0.218,2.554,-2.336
1880.0,4.0,0.0,0.0,13.919,133.921,29.606,-1.975,3.087,-5.062
1710.0,6.0,0.0,0.0,28.974,21.348,2.156,9.189,-4.828,14.017
1720.0,6.0,0.0,0.0,23.383,27.135,2.890,9.047,-6.653,15.701
1730.0,6.0,0.0,0.0,18.965,34.059,3.988,8.857,-9.463,18.320
1740.0,6.0,0.0,0.0,15.615,41.687,5.560,8.598,-14.567,23.165
1750.0,6.0,0.0,0.0,13.171,49.769,7.691,8.244,-32.430,40.674
1760.0,6.0,0.0,0.0,11.479,58.178,10.387,7.765,-15.197,22.962
1770.0,6.0,0.0,0.0,10.419,66.866,13.516,7.134,-8.592,15.726
1780.0,6.0,0.0,0.0,9.909,75.827,16.790,6.334,-4.881,11.214
1790.0,6.0,0.0,0.0,9.905,85.083,19.812,5.362,-2.428,7.790
1800.0,6.0,0.0,0.0,10.404,94.666,22.196,4.244,-0.732,4.975
1810.0,6.0,0.0,0.0,11.448,104.611,23.672,3.027,0.441,2.586
1820.0,6.0,0.0,0.0,13.151,114.921,24.108,1.793,1.230,0.563
1830.0,6.0,0.0,0.0,15.737,125.493,23.464,0.679,1.729,-1.051
1840.0,6.0,0.0,0.0,19.540,135.829,21.787,-0.006,2.037,-2.043
1850.0,6.0,0.0,0.0,24.281,144.288,19.642,0.373,2.364,-1.991
1860.0,6.0,0.0,0.0,25.568,149.896,19.993,2.086,3.210,-1.124
1870.0,6.0,0.0,0.0,21.751,160.769,26.461,3.490,4.446,-0.955
1880.0,6.0,0.0,0.0,21.307,177.238,32.227,3.492,5.023,-1.531
