freq_mhz,conductor_diameter_mm,length_offset_mm,spacing_offset_mm,resistance_ohm,reactance_ohm,vswr_50,forward_gain_dbi,back_gain_dbi,front_to_back_db
1710.0,3.0,0.0,0.0,8.742,28.905,7.676,10.621,-0.996,11.617
1720.0,3.0,0.0,0.0,9.441,33.673,7.758,10.718,-0.961,11.680
1730.0,3.0,0.0,0.0,10.235,38.508,7.861,10.789,-0.743,11.533
1740.0,3.0,0.0,0.0,11.140,43.415,7.969,10.838,-0.415,11.254
1750.0,3.0,0.0,0.0,12.182,48.393,8.069,10.867,-0.043,10.911
1760.0,3.0,0.0,0.0,13.388,53.439,8.146,10.880,0.325,10.555
1770.0,3.0,0.0,0.0,14.794,58.535,8.186,10.879,0.655,10.225
1780.0,3.0,0.0,0.0,16.442,63.656,8.176,10.868,0.925,9.943
1790.0,3.0,0.0,0.0,18.380,68.751,8.108,10.850,1.120,9.730
1800.0,3.0,0.0,0.0,20.657,73.742,7.973,10.830,1.227,9.602
1810.0,3.0,0.0,0.0,23.317,78.504,7.768,10.813,1.235,9.578
1820.0,3.0,0.0,0.0,26.373,82.844,7.494,10.807,1.126,9.681
1830.0,3.0,0.0,0.0,29.763,86.485,7.162,10.818,0.876,9.942
1840.0,3.0,0.0,0.0,33.249,89.062,6.793,10.855,0.446,10.409
1850.0,3.0,0.0,0.0,36.272,90.212,6.436,10.927,-0.231,11.158
1860.0,3.0,0.0,0.0,37.820,89.873,6.188,11.044,-1.273,12.317
1870.0,3.0,0.0,0.0,36.628,88.815,6.245,11.210,-2.900,14.110
1880.0,3.0,0.0,0.0,32.084,88.933,6.987,11.421,-5.445,16.867
1710.0,4.0,0.0,0.0,9.220,35.996,8.298,11.077,0.471,10.606
1720.0,4.0,0.0,0.0,10.109,40.661,8.299,11.130,0.800,10.329
1730.0,4.0,0.0,0.0,11.182,45.420,8.264,11.158,1.136,10.022
1740.0,4.0,0.0,0.0,12.485,50.256,8.178,11.165,1.441,9.724
1750.0,4.0,0.0,0.0,14.075,55.137,8.029,11.156,1.691,9.465
1760.0,4.0,0.0,0.0,16.018,60.001,7.809,11.135,1.866,9.269
1770.0,4.0,0.0,0.0,18.391,64.740,7.511,11.108,1.953,9.156
1780.0,4.0,0.0,0.0,21.260,69.171,7.138,11.084,1.937,9.147
1790.0,4.0,0.0,0.0,24.638,72.997,6.698,11.070,1.801,9.269
1800.0,4.0,0.0,0.0,28.382,75.771,6.214,11.076,1.518,9.557
1810.0,4.0,0.0,0.0,31.975,76.954,5.733,11.112,1.046,10.066
1820.0,4.0,0.0,0.0,34.276,76.239,5.349,11.188,0.311,10.878
1830.0,4.0,0.0,0.0,33.653,74.335,5.252,11.314,-0.814,12.128
1840.0,4.0,0.0,0.0,29.217,73.491,5.821,11.487,-2.528,14.015
1850.0,4.0,0.0,0.0,22.291,76.187,7.768,11.688,-4.840,16.527
1860.0,4.0,0.0,0.0,15.540,82.953,12.303,11.836,-5.248,17.084
1870.0,4.0,0.0,0.0,10.722,92.484,20.785,11.741,-1.111,12.852
1880.0,4.0,0.0,0.0,8.147,103.276,32.455,11.076,3.029,8.047
1710.0,6.0,0.0,0.0,14.348,49.253,7.011,11.399,3.196,8.202
1720.0,6.0,0.0,0.0,17.321,53.519,6.384,11.367,3.220,8.147
1730.0,6.0,0.0,0.0,21.089,57.065,5.706,11.335,3.132,8.203
1740.0,6.0,0.0,0.0,25.474,59.127,5.018,11.315,2.910,8.405
1750.0,6.0,0.0,0.0,29.502,58.764,4.398,11.319,2.517,8.802
1760.0,6.0,0.0,0.0,30.941,55.901,4.005,11.359,1.890,9.469
1770.0,6.0,0.0,0.0,27.657,53.000,4.151,11.443,0.913,10.530
1780.0,6.0,0.0,0.0,20.755,53.788,5.428,11.569,-0.618,12.186
1790.0,6.0,0.0,0.0,13.740,59.201,8.903,11.704,-2.939,14.643
1800.0,6.0,0.0,0.0,8.704,67.542,16.341,11.744,-4.714,16.457
1810.0,6.0,0.0,0.0,5.800,77.122,29.211,11.445,-1.429,12.874
1820.0,6.0,0.0,0.0,4.522,87.106,44.685,10.431,2.873,7.558
1830.0,6.0,0.0,0.0,4.390,97.225,54.518,8.480,5.477,3.003
1840.0,6.0,0.0,0.0,5.097,107.450,55.200,5.849,6.685,-0.836
1850.0,6.0,0.0,0.0,6.470,117.841,50.764,3.096,7.115,-4.019
1860.0,6.0,0.0,0.0,8.432,128.476,45.230,0.784,7.180,-6.397
1870.0,6.0,0.0,0.0,10.963,139.436,40.225,-0.708,7.088,-7.795
1880.0,6.0,0.0,0.0,14.086,150.794,36.090,-1.376,6.930,-8.305
