freq_mhz,conductor_diameter_mm,length_offset_mm,spacing_offset_mm,resistance_ohm,reactance_ohm,vswr_50,forward_gain_dbi,back_gain_dbi,front_to_back_db
880.0,4.0,0.0,0.0,20.531,55.552,5.676,6.395,-0.578,6.973
885.0,4.0,0.0,0.0,13.720,71.650,11.314,0.306,1.755,-1.449
890.0,4.0,0.0,0.0,14.547,86.601,13.967,-8.863,3.519,-12.382
895.0,4.0,0.0,0.0,17.883,99.280,14.106,-5.977,4.102,-10.079
900.0,4.0,0.0,0.0,22.194,110.585,13.643,-3.311,4.257,-7.568
905.0,4.0,0.0,0.0,27.084,121.069,13.136,-2.111,4.259,-6.370
910.0,4.0,0.0,0.0,32.446,131.008,12.691,-1.517,4.200,-5.717
915.0,4.0,0.0,0.0,38.254,140.533,12.316,-1.205,4.114,-5.319
920.0,4.0,0.0,0.0,44.500,149.703,12.003,-1.037,4.015,-5.052
925.0,4.0,0.0,0.0,51.181,158.540,11.737,-0.948,3.910,-4.859
930.0,4.0,0.0,0.0,58.290,167.046,11.511,-0.905,3.804,-4.709
935.0,4.0,0.0,0.0,65.815,175.209,11.316,-0.888,3.699,-4.587
940.0,4.0,0.0,0.0,73.743,183.012,11.147,-0.888,3.595,-4.483
945.0,4.0,0.0,0.0,82.054,190.437,10.999,-0.898,3.493,-4.391
950.0,4.0,0.0,0.0,90.726,197.462,10.869,-0.914,3.394,-4.308
955.0,4.0,0.0,0.0,99.731,204.068,10.754,-0.935,3.297,-4.232
960.0,4.0,0.0,0.0,109.042,210.236,10.652,-0.957,3.204,-4.161
880.0,6.0,0.0,0.0,14.277,90.743,15.258,-4.398,4.196,-8.594
885.0,6.0,0.0,0.0,17.844,101.656,14.673,-2.521,4.353,-6.874
890.0,6.0,0.0,0.0,21.981,112.019,14.061,-1.547,4.363,-5.910
895.0,6.0,0.0,0.0,26.625,122.050,13.526,-1.033,4.311,-5.343
900.0,6.0,0.0,0.0,31.773,131.856,13.077,-0.752,4.231,-4.983
905.0,6.0,0.0,0.0,37.438,141.485,12.700,-0.597,4.138,-4.735
910.0,6.0,0.0,0.0,43.640,150.952,12.381,-0.514,4.039,-4.554
915.0,6.0,0.0,0.0,50.399,160.251,12.108,-0.474,3.939,-4.413
920.0,6.0,0.0,0.0,57.732,169.361,11.873,-0.460,3.838,-4.299
925.0,6.0,0.0,0.0,65.651,178.252,11.669,-0.463,3.739,-4.202
930.0,6.0,0.0,0.0,74.166,186.885,11.489,-0.475,3.642,-4.117
935.0,6.0,0.0,0.0,83.280,195.216,11.330,-0.494,3.547,-4.041
940.0,6.0,0.0,0.0,92.993,203.198,11.188,-0.518,3.455,-3.972
945.0,6.0,0.0,0.0,103.297,210.779,11.062,-0.544,3.365,-3.909
950.0,6.0,0.0,0.0,114.178,217.907,10.948,-0.571,3.278,-3.849
955.0,6.0,0.0,0.0,125.615,224.528,10.845,-0.599,3.194,-3.793
960.0,6.0,0.0,0.0,137.582,230.588,10.751,-0.628,3.112,-3.740
880.0,8.0,0.0,0.0,21.434,112.514,14.505,-0.749,4.465,-5.214
885.0,8.0,0.0,0.0,26.006,122.709,13.951,-0.443,4.396,-4.839
890.0,8.0,0.0,0.0,31.156,132.877,13.488,-0.271,4.309,-4.580
895.0,8.0,0.0,0.0,36.927,143.043,13.098,-0.177,4.215,-4.392
900.0,8.0,0.0,0.0,43.367,153.209,12.767,-0.129,4.118,-4.247
905.0,8.0,0.0,0.0,50.523,163.354,12.483,-0.111,4.019,-4.131
910.0,8.0,0.0,0.0,58.447,173.447,12.237,-0.111,3.922,-4.033
915.0,8.0,0.0,0.0,67.186,183.440,12.022,-0.123,3.827,-3.950
920.0,8.0,0.0,0.0,76.787,193.273,11.832,-0.142,3.733,-3.876
925.0,8.0,0.0,0.0,87.290,202.873,11.663,-0.166,3.643,-3.809
930.0,8.0,0.0,0.0,98.732,212.156,11.512,-0.193,3.554,-3.748
935.0,8.0,0.0,0.0,111.138,221.024,11.376,-0.222,3.469,-3.691
940.0,8.0,0.0,0.0,124.526,229.370,11.253,-0.253,3.386,-3.638
945.0,8.0,0.0,0.0,138.897,237.076,11.141,-0.283,3.305,-3.588
950.0,8.0,0.0,0.0,154.239,244.014,11.039,-0.314,3.227,-3.541
955.0,8.0,0.0,0.0,170.521,250.050,10.946,-0.345,3.151,-3.496
960.0,8.0,0.0,0.0,187.688,255.048,10.860,-0.375,3.078,-3.453
